Date,Open,High,Low,Close,Adj Close,Volume,ChangeStock,wtAVG
2019-08-29,10996.04981,11021.09961,10922.40039,10948.29981,10948.29981,649900,-47.75,0.517021617
2019-08-30,10987.79981,11042.59961,10874.79981,11023.25,11023.25,628200,35.45019,0.516309843
2019-09-03,10960.9502,10967.5,10772.7002,10797.90039,10797.90039,483000,-163.04981,0.514661514
2019-09-04,10790.40039,10858.75,10746.34961,10844.65039,10844.65039,508800,54.25,0.513317395
2019-09-05,10860.9502,10920.09961,10816,10847.90039,10847.90039,595700,-13.04981,0.518219698
2019-09-06,10883.79981,10957.04981,10867.4502,10946.2002,10946.2002,497200,62.40039,0.511388157
2019-09-09,10936.7002,11028.84961,10889.79981,11003.04981,11003.04981,412500,66.34961,0.50952519
2019-09-11,11028.5,11054.79981,11011.65039,11035.7002,11035.7002,687100,7.2002,0.509804803
2019-09-12,11058.29981,11081.75,10964.9502,10982.79981,10982.79981,551400,-75.5,0.51011502
2019-09-13,10986.79981,11084.4502,10945.75,11075.90039,11075.90039,624300,89.10058,0.506162035
2019-09-16,10994.84961,11052.7002,10968.2002,11003.5,11003.5,434500,8.65039,0.50840609
2019-09-17,11000.09961,11000.09961,10796.5,10817.59961,10817.59961,482000,-182.5,0.509136792
2019-09-18,10872.79981,10885.15039,10804.84961,10840.65039,10840.65039,519200,-32.14942,0.503524561
2019-09-19,10845.2002,10845.2002,10670.25,10704.79981,10704.79981,642600,-140.40039,0.501984951
2019-09-20,10746.79981,11381.90039,10691,11274.2002,11274.2002,1356800,527.40039,0.499935294
2019-09-23,11542.7002,11694.84961,11471.34961,11600.2002,11600.2002,882800,57.5,0.500880432
2019-09-24,11590.7002,11655.04981,11539.2002,11588.2002,11588.2002,651700,-2.5,0.498371244
2019-09-25,11564.84961,11564.9502,11416.09961,11440.2002,11440.2002,629100,-124.64941,0.500178049
2019-09-26,11469.84961,11610.84961,11466.34961,11571.2002,11571.2002,844500,101.35059,0.49924695
2019-09-27,11556.34961,11593.59961,11499.75,11512.40039,11512.40039,650000,-43.94922,0.500398409
2019-09-30,11491.15039,11508.25,11390.79981,11474.4502,11474.4502,756800,-16.70019,0.506081009
2019-10-01,11515.40039,11554.2002,11247.90039,11359.90039,11359.90039,1305400,-155.5,0.51072672
2019-10-03,11322.25,11370.40039,11257.34961,11314,11314,1017500,-8.25,0.50546735
2019-10-04,11388.4502,11400.29981,11158.34961,11174.75,11174.75,928500,-213.7002,0.502070119
2019-10-07,11196.2002,11233.84961,11112.65039,11126.40039,11126.40039,733200,-69.79981,0.505166862
2019-10-09,11152.9502,11321.59961,11090.15039,11313.29981,11313.29981,741100,160.34961,0.517430326
2019-10-10,11280.5,11293.34961,11208.54981,11234.54981,11234.54981,562000,-45.95019,0.507085869
2019-10-11,11257.7002,11362.90039,11189.40039,11305.04981,11305.04981,737800,47.34961,0.513411385
2019-10-14,11335.90039,11420.4502,11290.04981,11341.15039,11341.15039,587600,5.25,0.507244869
2019-10-15,11360.84961,11462.34961,11342.09961,11428.29981,11428.29981,527400,67.4502,0.50701043
2019-10-16,11464.9502,11481.04981,11411.09961,11464,11464,533500,-0.9502,0.509765026
2019-10-17,11466.29981,11599.09961,11439.65039,11586.34961,11586.34961,797600,120.0498,0.512321062
2019-10-18,11580.29981,11684.7002,11553.15039,11661.84961,11661.84961,853400,81.5498,0.50693375
2019-10-22,11657.15039,11714.34961,11573.65039,11588.34961,11588.34961,867600,-68.80078,0.507523143
2019-10-23,11596.2002,11651.59961,11554.40039,11604.09961,11604.09961,664200,7.89941,0.502164849
2019-10-24,11661.65039,11679.59961,11534.65039,11582.59961,11582.59961,700500,-79.05078,0.506909923
2019-10-25,11646.15039,11646.90039,11490.75,11583.90039,11583.90039,812000,-62.25,0.513982602
2019-10-29,11643.9502,11809.40039,11627.34961,11786.84961,11786.84961,951700,142.89941,0.513922175
2019-10-30,11883.90039,11883.9502,11784.4502,11844.09961,11844.09961,725200,-39.80078,0.507852821
2019-10-31,11890.4502,11945,11855.09961,11877.4502,11877.4502,1414800,-13,0.505581622
2019-11-01,11886.59961,11918.29981,11843.34961,11890.59961,11890.59961,855300,4,0.507359847
2019-11-04,11928.90039,11989.15039,11905.34961,11941.29981,11941.29981,823100,12.39942,0.510002496
2019-11-05,11974.59961,11978.9502,11861.90039,11917.2002,11917.2002,632000,-57.39941,0.504028131
2019-11-06,11911.5,12002.90039,11850.25,11966.04981,11966.04981,603400,54.54981,0.5081889
2019-11-07,12021.09961,12021.40039,11946.84961,12012.04981,12012.04981,563000,-9.0498,0.503877658
2019-11-08,11987.15039,12034.15039,11888.75,11908.15039,11908.15039,789300,-79,0.504777675
2019-11-11,11879.2002,11932.65039,11853.9502,11913.4502,11913.4502,549000,34.25,0.49683752
2019-11-13,11908.29981,11946.79981,11823.2002,11840.4502,11840.4502,659000,-67.84961,0.505708418
2019-11-14,11858.75,11895.65039,11802.65039,11872.09961,11872.09961,559500,13.34961,0.500322712
2019-11-15,11904.2002,11973.65039,11879.25,11895.4502,11895.4502,580200,-8.75,0.499423826
2019-11-18,11915.15039,11946.2002,11867.59961,11884.5,11884.5,514400,-30.65039,0.501264466
2019-11-19,11919.4502,11958.84961,11881.75,11940.09961,11940.09961,613900,20.64941,0.502012649
2019-11-20,12004.75,12038.59961,11966.04981,11999.09961,11999.09961,646700,-5.65039,0.499074372
2019-11-21,12025.65039,12028.2002,11956.90039,11968.40039,11968.40039,557700,-57.25,0.504048152
2019-11-22,11967.29981,11968.09961,11883.5,11914.40039,11914.40039,486800,-52.89942,0.501658822
2019-11-25,11922.4502,12084.5,11919.75,12073.75,12073.75,534300,151.2998,0.500322047
2019-11-26,12110.2002,12132.4502,12006.34961,12037.7002,12037.7002,1201300,-72.5,0.49902299
2019-11-27,12068.5,12114.90039,12055.15039,12100.7002,12100.7002,584200,32.2002,0.491805797
2019-11-28,12132.09961,12158.79981,12099.9502,12151.15039,12151.15039,620500,19.05078,0.490377736
2019-11-29,12146.2002,12147.40039,12017.40039,12056.04981,12056.04981,804400,-90.15039,0.491494723
2019-12-02,12137.04981,12137.15039,12023.7002,12048.2002,12048.2002,720900,-88.84961,0.483590823
2019-12-03,12067.65039,12068.59961,11956.40039,11994.2002,11994.2002,605800,-73.45019,0.50435361
2019-12-04,11969.9502,12054.7002,11935.29981,12043.2002,12043.2002,747200,73.25,0.49215987
2019-12-05,12071.25,12081.2002,11998.75,12018.40039,12018.40039,562200,-52.84961,0.493491508
2019-12-06,12047.34961,12057.04981,11888.84961,11921.5,11921.5,609200,-125.84961,0.49424938
2019-12-09,11939.09961,11981.9502,11888.04981,11937.5,11937.5,599100,-1.59961,0.490935512
2019-12-10,11950.5,11953.2002,11844.7002,11856.79981,11856.79981,650200,-93.70019,0.494501356
2019-12-11,11867.34961,11923.2002,11832.29981,11910.15039,11910.15039,997700,42.80078,0.495337402
2019-12-12,11944.29981,12005.5,11934,11971.79981,11971.79981,752600,27.5,0.494612869
2019-12-13,12026.40039,12098.84961,12023.59961,12086.7002,12086.7002,597700,60.29981,0.496275204
2019-12-16,12131.34961,12134.65039,12046.29981,12053.9502,12053.9502,437700,-77.39941,0.496641805
2019-12-17,12082.4502,12182.75,12070.34961,12165,12165,499600,82.5498,0.495695302
2019-12-18,12197,12237.7002,12163.4502,12221.65039,12221.65039,518900,24.65039,0.500220132
2019-12-19,12223.40039,12268.34961,12191.15039,12259.7002,12259.7002,623100,36.29981,0.500049671
2019-12-20,12266.4502,12293.90039,12252.75,12271.79981,12271.79981,810700,5.34961,0.499331311
2019-12-23,12235.4502,12287.15039,12213.25,12262.75,12262.75,604800,27.2998,0.502790229
2019-12-24,12269.25,12283.7002,12202.09961,12214.54981,12214.54981,470300,-54.70019,0.506449506
2019-12-26,12211.84961,12221.54981,12118.84961,12126.54981,12126.54981,520300,-85.2998,0.509013905
2019-12-27,12172.90039,12258.4502,12157.90039,12245.79981,12245.79981,383800,72.89942,0.507539803
2019-12-30,12274.90039,12286.4502,12213.79981,12255.84961,12255.84961,411100,-19.05078,0.517453724
2019-12-31,12247.09961,12247.09961,12151.79981,12168.4502,12168.4502,426900,-78.64941,0.52821684
2020-01-01,12202.15039,12222.2002,12165.29981,12182.5,12182.5,304100,-19.65039,0.521265583
2020-01-02,12198.54981,12289.90039,12195.25,12282.2002,12282.2002,407700,83.65039,0.5144349
2020-01-03,12261.09961,12265.59961,12191.34961,12226.65039,12226.65039,428800,-34.44922,0.515582505
2020-01-06,12170.59961,12179.09961,11974.2002,11993.04981,11993.04981,396500,-177.5498,0.515899927
2020-01-07,12079.09961,12152.15039,12005.34961,12052.9502,12052.9502,447800,-26.14941,0.516251471
2020-01-08,11939.09961,12044.9502,11929.59961,12025.34961,12025.34961,446000,86.25,0.517402506
2020-01-09,12153.15039,12224.04981,12132.54981,12215.90039,12215.90039,477500,62.75,0.515978989
2020-01-10,12271,12311.2002,12213.2002,12256.79981,12256.79981,660600,-14.20019,0.515908628
2020-01-13,12296.7002,12337.75,12285.79981,12329.54981,12329.54981,501000,32.84961,0.517991775
2020-01-14,12333.09961,12374.25,12308.7002,12362.29981,12362.29981,616300,29.2002,0.522661852
2020-01-15,12349.40039,12355.15039,12278.75,12343.29981,12343.29981,684400,-6.10058,0.520084357
2020-01-16,12347.09961,12389.04981,12315.79981,12355.5,12355.5,395700,8.40039,0.512985575
2020-01-17,12328.40039,12385.4502,12321.40039,12352.34961,12352.34961,502100,23.94922,0.514722712
2020-01-20,12430.5,12430.5,12216.90039,12224.54981,12224.54981,491600,-205.95019,0.515353662
2020-01-21,12195.29981,12230.04981,12162.29981,12169.84961,12169.84961,400,-25.4502,0.516917285
2020-01-22,12218.34961,12225.04981,12087.90039,12106.90039,12106.90039,500,-111.44922,0.517424853
2020-01-23,12123.75,12189,12094.09961,12180.34961,12180.34961,867700,56.59961,0.516656986
2020-01-24,12174.54981,12272.15039,12149.65039,12248.25,12248.25,593200,73.70019,0.516108878
2020-01-27,12197.09961,12216.59961,12107,12119,12119,441200,-78.09961,0.515276082
2020-01-28,12148.09961,12163.54981,12024.5,12055.79981,12055.79981,478500,-92.2998,0.508445456
2020-01-29,12114.90039,12169.59961,12103.79981,12129.5,12129.5,514400,14.59961,0.517858762
2020-01-30,12147.75,12150.29981,12010.59961,12035.79981,12035.79981,538100,-111.95019,0.523218962
2020-01-31,12100.40039,12103.54981,11945.84961,11962.09961,11962.09961,771300,-138.30078,0.521201464
2020-02-03,11627.4502,11749.84961,11614.5,11707.90039,11707.90039,669800,80.45019,0.509689514
2020-02-04,11786.25,11986.15039,11783.40039,11979.65039,11979.65039,560400,193.40039,0.508768692
2020-02-05,12005.84961,12098.15039,11953.34961,12089.15039,12089.15039,758000,83.30078,0.509578444
2020-02-06,12120,12160.59961,12084.65039,12137.9502,12137.9502,565100,17.9502,0.509240755
2020-02-07,12151.15039,12154.7002,12073.9502,12098.34961,12098.34961,473500,-52.80078,0.510663331
2020-02-10,12102.34961,12103.54981,11990.75,12031.5,12031.5,524700,-70.84961,0.503276155
2020-02-11,12108.40039,12172.29981,12099,12107.90039,12107.90039,480000,-0.5,0.508814853
2020-02-12,12151,12231.75,12144.29981,12201.2002,12201.2002,411700,50.2002,0.511910354
2020-02-13,12219.54981,12225.65039,12139.79981,12174.65039,12174.65039,501200,-44.89942,0.530000456
2020-02-14,12190.15039,12246.7002,12091.2002,12113.4502,12113.4502,622800,-76.70019,0.518274603
2020-02-17,12131.79981,12159.59961,12037,12045.79981,12045.79981,0,-86,0.509356627
2020-02-18,12028.25,12030.75,11908.04981,11992.5,11992.5,676900,-35.75,0.506935939
2020-02-19,12090.59961,12134.7002,12042.09961,12125.90039,12125.90039,513600,35.30078,0.50628083
2020-02-20,12119,12152,12071.4502,12080.84961,12080.84961,502600,-38.15039,0.483440537
2020-02-24,12012.54981,12012.54981,11813.40039,11829.40039,11829.40039,490800,-183.14942,0.503762278
2020-02-25,11877.5,11883.04981,11779.90039,11797.90039,11797.90039,461000,-79.59961,0.4962404
2020-02-26,11738.54981,11783.25,11639.59961,11678.5,11678.5,567600,-60.04981,0.502543966
2020-02-27,11661.25,11663.84961,11536.7002,11633.29981,11633.29981,608600,-27.95019,0.503087579
2020-02-28,11382,11384.79981,11175.04981,11201.75,11201.75,809900,-180.25,0.50818735
2020-03-02,11387.34961,11433,11036.25,11132.75,11132.75,680800,-254.59961,0.508955053
2020-03-03,11217.54981,11342.25,11152.54981,11303.29981,11303.29981,696500,85.75,0.510294791
2020-03-04,11351.34961,11356.59961,11082.15039,11251,11251,797700,-100.34961,0.512195939
2020-03-05,11306.04981,11389.5,11244.59961,11269,11269,1352500,-37.04981,0.518813816
2020-03-06,10942.65039,11035.09961,10827.40039,10989.4502,10989.4502,1811000,46.79981,0.51557334
2020-03-09,10742.04981,10751.54981,10294.4502,10451.4502,10451.4502,1565500,-290.59961,0.525746577
2020-03-11,10334.29981,10545.09961,10334,10458.40039,10458.40039,1218500,124.10058,0.520825691
2020-03-12,10039.9502,10040.75,9508,9590.150391,9590.150391,1343500,-449.799809,0.520573476
2020-03-13,9107.599609,10159.40039,8555.150391,9955.200195,9955.200195,1388000,847.600586,0.518054173
2020-03-16,9587.799805,9602.200195,9165.099609,9197.400391,9197.400391,897700,-390.399414,0.516911869
2020-03-17,9285.400391,9403.799805,8915.599609,8967.049805,8967.049805,935600,-318.350586,0.520519631
2020-03-18,9088.450195,9127.549805,8407.049805,8468.799805,8468.799805,1516600,-619.65039,0.52093349
2020-03-19,8063.299805,8575.450195,7832.549805,8263.450195,8263.450195,925700,200.15039,0.523698725
2020-03-20,8284.450195,8883,8178.200195,8745.450195,8745.450195,1071500,461,0.502568706
2020-03-23,7945.700195,8159.25,7583.600098,7610.25,7610.25,653500,-335.450195,0.506690709
2020-03-24,7848.299805,8036.950195,7511.100098,7801.049805,7801.049805,738400,-47.25,0.510961169
2020-03-25,7735.149902,8376.75,7714.75,8317.849609,8317.849609,736900,582.699707,0.516792304
2020-03-26,8451,8749.049805,8304.900391,8641.450195,8641.450195,865600,190.450195,0.520926017
2020-03-27,8949.099609,9038.900391,8522.900391,8660.25,8660.25,801500,-288.849609,0.522531826
2020-03-30,8385.950195,8576,8244,8281.099609,8281.099609,593300,-104.850586,0.517455818
2020-03-31,8529.349609,8678.299805,8358,8597.75,8597.75,712700,68.400391,0.527561053
2020-04-01,8584.099609,8588.099609,8198.349609,8253.799805,8253.799805,506300,-330.299804,0.528539634
2020-04-03,8356.549805,8356.549805,8055.799805,8083.799805,8083.799805,697000,-272.75,0.538146187
2020-04-07,8446.299805,8819.400391,8360.950195,8792.200195,8792.200195,814200,345.90039,0.532473333
2020-04-08,8688.900391,9131.700195,8653.900391,8748.75,8748.75,896500,59.849609,0.537487014
2020-04-09,8973.049805,9128.349609,8904.549805,9111.900391,9111.900391,742100,138.850586,0.533918121
2020-04-13,9103.950195,9112.049805,8912.400391,8993.849609,8993.849609,644000,-110.100586,0.526881346
2020-04-15,9196.400391,9261.200195,8874.099609,8925.299805,8925.299805,879100,-271.100586,0.525753185
2020-04-16,8851.25,9053.75,8821.900391,8992.799805,8992.799805,719400,141.549805,0.530451851
2020-04-17,9323.450195,9324,9091.349609,9266.75,9266.75,684200,-56.700195,0.529251918
2020-04-20,9390.200195,9390.849609,9230.799805,9261.849609,9261.849609,726400,-128.350586,0.526121626
2020-04-21,9016.950195,9044.400391,8909.400391,8981.450195,8981.450195,655100,-35.5,0.527948005
2020-04-22,9026.75,9209.75,8946.25,9187.299805,9187.299805,734400,160.549805,0.523835583
